r16239 #  AT Gesamt
r35183 #  AT Steiermark
r52343 #  AT Tirol
r52345 #  AT Kärnten
r62341 #  D Rheinpfalz
r62366 #  D Thür
r62372 #  D Saarland
r62422 #  D Berlin
r62467 #  D Sachsen
r62504 #  D Brande
r62607 #  D SachsAnhalt
r62611 #  D BaWü
r62650 #  D Hessen
r62718 #  D Bremen, Achtung Bremerhaven?
r62761 #  D NRW
r62774 #  D Meckpom
r62775 #  D Schles Hol
r62781 #  D Gesamt
r74942 #  AT Vorarlberg
r76909 #  AT Burgenland
r77189 #  AT Niederöster
r86539 #  AT Salzburg
r102303 #  AT Oberöster
r109166 #  AT Wien
r451087 #  D Hamburg
r454192 #  D Niedersachs
r2145268 #  D Bay
